x;y
-116;123
-112;123
-108;123
-105;123
-101;123
-94;123
-87;123
-83;123
-79;123
-76;123
-72;123
-65;123
-61;122
-57;121
-52;120
-48;118
-40;115
-36;115
-33;115
-25;115
-22;115
-18;115
-14;115
-11;115
-3;115
0;115
7;115
10;115
14;115
17;115
25;115
28;115
32;115
36;115
40;115
47;115
51;115
54;115
58;115
62;115
69;115
72;115
76;115
83;115
87;115
91;115
94;115
98;115
105;115
109;115
113;115
122;115
126;115
131;115
136;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
143;115
